"codigo";"descricao";"categoria";"unidade";"marca";"modelo";"peso_kg";"unidades_por_case";"consumo_w";"diaria_brl";"quantidade_total";"em_manutencao";"observacao_tecnica"
"LUZ-RIBALTA";"Ribalta LED RGBW";"Luz";"pç";"Genérico / OEM";"Barra 1 m RGBW";"4";"6";"180";"70";"24";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"LUZ-BATERIA";"Uplight LED com bateria";"Luz";"pç";"Genérico / OEM";"6 x 18 W RGBWA+UV";"3.5";"6";"80";"65";"24";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"LUZ-HAZE";"Máquina haze em case";"Luz";"pç";"Genérico / OEM";"Hazer 1000 W";"12";"1";"1000";"220";"4";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"LUZ-DMX";"Controladora DMX";"Luz";"pç";"Genérico / OEM";"Console 1024 canais";"10";"1";"60";"250";"3";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"LUZ-SPLIT";"Splitter DMX optoisolado";"Luz";"pç";"Genérico / OEM";"8 saídas";"2.5";"2";"15";"45";"8";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-LINE";"Caixa line array passiva";"Som";"pç";"Genérico / OEM";"2 x 10 pol. passiva";"28";"2";"0";"180";"24";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-SUB";"Subwoofer passivo";"Som";"pç";"Genérico / OEM";"Duplo 18 pol.";"75";"1";"0";"180";"12";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-ATIVA";"Caixa ativa para salas e delay";"Som";"pç";"Genérico / OEM";"12 pol. ativa";"18";"2";"500";"120";"16";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-MON";"Monitor de palco passivo";"Som";"pç";"Genérico / OEM";"12 pol. coaxial";"19";"2";"0";"100";"8";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-AMP";"Amplificador para PA";"Som";"pç";"Genérico / OEM";"4 canais classe D";"15";"1";"2500";"220";"8";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-MESA";"Mesa digital para eventos";"Som";"pç";"Genérico / OEM";"32 entradas / 16 saídas";"14";"1";"120";"380";"3";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-STAGE";"Stagebox digital";"Som";"pç";"Genérico / OEM";"16 entradas / 8 saídas";"6";"1";"45";"150";"4";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-MICDUO";"Sistema duplo de microfone sem fio";"Som";"pç";"Genérico / OEM";"UHF duplo com receptor";"2";"2";"15";"160";"8";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-LAPELA";"Microfone de lapela sem fio";"Som";"pç";"Genérico / OEM";"UHF com bodypack e receptor";"1.5";"2";"12";"120";"8";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-MIC";"Microfone dinâmico com fio";"Som";"pç";"Genérico / OEM";"Cardioide vocal";"0.35";"12";"0";"30";"24";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-DI";"Direct box passivo";"Som";"pç";"Genérico / OEM";"DI passivo mono";"0.7";"8";"0";"25";"16";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-PEDESTAL";"Pedestal de microfone";"Som";"pç";"Genérico / OEM";"Girafa";"2.5";"10";"0";"15";"32";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-XLR";"Cabo XLR 10 m";"Som";"pç";"Genérico / OEM";"Balanceado 10 m";"0.6";"20";"0";"8";"120";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"SOM-SPK";"Cabo para caixa passiva 10 m";"Som";"pç";"Genérico / OEM";"4 vias / 10 m";"1.5";"10";"0";"12";"48";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"VID-LED";"Gabinete LED 50 x 50 cm P2.97 outdoor";"Vídeo";"pç";"One Light";"Nexo Pro P2.97 / 33201";"8";"8";"150";"80";"120";"0";"120 gabinetes = 30 m². Diária por gabinete (0,25 m²), não por m². Peso ESTIMADO. Máximo publicado 600 W/m² x 0,25 = 150 W/gabinete. Conferir etiqueta. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS. Fonte técnica (24/09/2026): https://www.onelightbrasil.com.br/painel-de-led-50x50cm-p2.97-outdoor-45-de-quina-nexo-pro-onelight-o-metro-33201"
"VID-PROC";"Processador para painel LED";"Vídeo";"pç";"Genérico / OEM";"Processador HDMI / 6 portas de rede";"4";"1";"35";"200";"3";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"VID-PROJ";"Projetor para apresentação";"Vídeo";"pç";"Genérico / OEM";"Projetor 5000 ANSI lm";"5";"1";"400";"350";"4";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"VID-TELA";"Tela de projeção com estrutura";"Vídeo";"pç";"Genérico / OEM";"3,0 x 1,7 m";"18";"1";"0";"180";"4";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"VID-TV";"Monitor para retorno ou apresentação";"Vídeo";"pç";"Genérico / OEM";"TV LED 55 pol.";"16";"1";"150";"220";"8";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"VID-NOTE";"Notebook para apresentação";"Vídeo";"pç";"Genérico / OEM";"Notebook i5 / 16 GB";"2";"1";"90";"150";"6";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"VID-HDMI";"Cabo HDMI 10 m";"Vídeo";"pç";"Genérico / OEM";"HDMI 10 m";"0.6";"10";"0";"15";"24";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"VID-SUP";"Suporte de piso para TV";"Vídeo";"pç";"Genérico / OEM";"Pedestal até 65 pol.";"18";"1";"0";"60";"8";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EST-Q30-3";"Treliça Q30 de 3 m";"Estrutura";"pç";"Fabricante a definir";"Q30 / 3 m";"12";"1";"0";"75";"60";"0";"Peso estimado. Item passivo. Carga admissível, compatibilidade e fixação precisam de ficha técnica e projeto. O modelo é uma referência de cadastro. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EST-Q30-2";"Treliça Q30 de 2 m";"Estrutura";"pç";"Fabricante a definir";"Q30 / 2 m";"8";"1";"0";"50";"32";"0";"Peso estimado. Item passivo. Carga admissível, compatibilidade e fixação precisam de ficha técnica e projeto. O modelo é uma referência de cadastro. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EST-Q30-1";"Treliça Q30 de 1 m";"Estrutura";"pç";"Fabricante a definir";"Q30 / 1 m";"4.5";"1";"0";"30";"24";"0";"Peso estimado. Item passivo. Carga admissível, compatibilidade e fixação precisam de ficha técnica e projeto. O modelo é uma referência de cadastro. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EST-CUBO";"Cubo de conexão Q30";"Estrutura";"pç";"Fabricante a definir";"Cubo Q30";"8";"1";"0";"35";"16";"0";"Peso estimado. Item passivo. Carga admissível, compatibilidade e fixação precisam de ficha técnica e projeto. O modelo é uma referência de cadastro. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EST-BASE";"Base para torre Q30";"Estrutura";"pç";"Fabricante a definir";"Base de aço 60 x 60 cm";"25";"1";"0";"40";"16";"0";"Peso estimado. Item passivo. Carga admissível, compatibilidade e fixação precisam de ficha técnica e projeto. O modelo é uma referência de cadastro. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EST-PRATIC";"Praticável com pés";"Estrutura";"pç";"Fabricante a definir";"2 x 1 m";"32";"1";"0";"90";"60";"0";"Peso estimado. Item passivo. Carga admissível, compatibilidade e fixação precisam de ficha técnica e projeto. O modelo é uma referência de cadastro. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EST-GARRA";"Garra de fixação de refletor";"Estrutura";"pç";"Fabricante a definir";"Meia abraçadeira";"0.5";"20";"0";"5";"160";"0";"Peso estimado. Item passivo. Carga admissível, compatibilidade e fixação precisam de ficha técnica e projeto. O modelo é uma referência de cadastro. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EST-SAFETY";"Cabo de segurança de refletor";"Estrutura";"pç";"Fabricante a definir";"Safety com mosquetão";"0.2";"20";"0";"3";"160";"0";"Peso estimado. Item passivo. Carga admissível, compatibilidade e fixação precisam de ficha técnica e projeto. O modelo é uma referência de cadastro. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EST-TALHA";"Talha manual";"Estrutura";"pç";"Fabricante a definir";"1 t / corrente 6 m";"18";"1";"0";"80";"8";"0";"Peso estimado. Item passivo. Carga admissível, compatibilidade e fixação precisam de ficha técnica e projeto. O modelo é uma referência de cadastro. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"CEN-PULP";"Púlpito para conferência";"Cenografia";"pç";"Fabricação local";"Acrílico";"15";"1";"0";"180";"4";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"CEN-BIOMBO";"Módulo de fechamento de fundo";"Cenografia";"pç";"Fabricação local";"2 x 3 m com tecido";"12";"1";"0";"70";"24";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"CEN-TOTEM";"Totem cenográfico";"Cenografia";"pç";"Fabricação local";"Estrutura 2 m revestida";"18";"1";"0";"120";"12";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"NET-AP";"Ponto de acesso Wi-Fi";"Internet";"pç";"Genérico / OEM";"AP dual band Wi-Fi 6";"0.6";"4";"20";"100";"8";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"NET-SW";"Switch de rede";"Internet";"pç";"Genérico / OEM";"Gigabit 16 portas";"2";"1";"25";"80";"4";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"NET-CAT6";"Cabo de rede CAT6 30 m";"Internet";"pç";"Genérico / OEM";"CAT6 / 30 m";"1.2";"10";"0";"20";"24";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EXT-AC10";"Extensão elétrica 10 m";"Extras";"pç";"Genérico / OEM";"3 x 2,5 mm² / 10 m";"1.8";"10";"0";"12";"100";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EXT-REGUA";"Régua de distribuição";"Extras";"pç";"Genérico / OEM";"6 tomadas";"0.8";"10";"0";"10";"40";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EXT-PASSA";"Passa-cabos de piso";"Extras";"pç";"Genérico / OEM";"5 canais / 1 m";"8";"1";"0";"25";"60";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"EXT-QUADRO";"Quadro de distribuição elétrica";"Extras";"pç";"Genérico / OEM";"Trifásico 63 A";"15";"1";"0";"180";"4";"0";"Peso estimado; item passivo, sem consumo elétrico próprio. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
